,Player_ID,Year,Month,Date,Player Name,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,team_key,USG_RATIO,TS,original_player_pos,player_pos_C,player_pos_C-F,player_pos_F,player_pos_F-C,player_pos_F-G,player_pos_G,player_pos_G-F,Fantasy_Point
35,2544,2023,11,2023-11-01,LeBron James,33.33,141,249,0.57,2.47,88,0.43,65,89,0.74,0.93,6.67,7.6,6.27,1.33,0.73,3.33,1.13,25.6,39,LAL,0.29,0.57,F,False,False,True,False,False,False,False,51.11
36,2544,2023,12,2023-12-01,LeBron James,35.42,116,231,0.51,2.17,60,0.45,58,71,0.81,1.0,5.75,6.75,9.08,1.5,0.67,2.83,1.0,26.33,-8,LAL,0.3,0.52,F,False,False,True,False,False,False,False,55.315
37,2544,2024,1,2024-01-01,LeBron James,36.0,118,242,0.48,1.92,68,0.37,46,69,0.62,0.92,6.69,7.62,8.46,1.0,0.23,3.38,1.46,23.62,-20,LAL,0.29,0.48,F,False,False,True,False,False,False,False,49.37400000000001
38,2544,2024,2,2024-02-01,LeBron James,36.78,96,175,0.55,2.56,50,0.49,29,36,0.83,0.67,4.56,5.22,8.78,1.0,0.89,2.78,1.22,27.11,50,LAL,0.29,0.57,F,False,False,True,False,False,False,False,53.384
39,2544,2024,3,2024-03-01,LeBron James,36.0,112,196,0.57,2.08,55,0.37,64,79,0.78,0.67,7.67,8.33,9.0,0.83,0.25,4.0,0.92,26.08,89,LAL,0.28,0.56,F,False,False,True,False,False,False,False,52.896
40,2544,2024,4,2024-04-01,LeBron James,36.0,67,110,0.62,1.0,19,0.33,30,41,0.72,1.17,6.0,7.17,10.5,2.17,0.33,4.33,0.67,28.33,42,LAL,0.3,0.56,F,False,False,True,False,False,False,False,59.019
41,101108,2018,10,2018-10-01,Chris Paul,33.25,24,61,0.39,2.0,23,0.29,20,24,0.83,1.0,4.75,5.75,8.25,1.75,0.0,2.75,3.0,19.0,-37,HOU,0.25,0.44,G,False,False,False,False,False,True,False,44.15
42,101108,2018,11,2018-11-01,Chris Paul,34.5,74,163,0.45,2.33,74,0.35,30,39,0.72,0.5,4.0,4.5,7.67,2.25,0.42,3.08,2.58,17.17,67,HOU,0.22,0.49,G,False,False,False,False,False,True,False,42.875
43,101108,2018,12,2018-12-01,Chris Paul,31.4,39,106,0.35,1.7,53,0.27,28,33,0.84,0.6,2.2,2.8,8.3,2.0,0.3,2.9,2.5,12.3,6,HOU,0.2,0.42,G,False,False,False,False,False,True,False,35.26
44,101108,2019,1,2019-01-01,Chris Paul,25.5,8,17,0.47,1.5,10,0.3,3,4,0.75,0.5,4.0,4.5,7.5,2.5,0.0,2.5,2.5,11.0,9,HOU,0.17,0.51,G,False,False,False,False,False,True,False,35.4
